zygGene,RNA
ugt-62,52.662
fbxb-4,191.393
M153.1,499.378
R03A10.3,146.105
sdz-26,297.811
R06C1.4,742.22
glo-1,152.921
R07B7.5,40.509
gana-1,357.369
R07E3.7,97.401
sdz-27,4697.422
R07H5.9,33.234
R08D7.7,30.754
R09H10.3,108.691
R10D12.1,37.966
R11.4,413.556
R11A5.3,2071.38
fbxb-85,166.646
T01H3.5,31.859
T01H8.2,463.451
T01H10.8,25.116
T02C1.1,30.727
T04A8.13,47.556
sdz-30,468.177
T05D4.2,197.426
T05H10.3,104.467
fbxa-104,240.511
T08G5.3,111.709
T10B10.4,33.91
sdz-31,173.643
T15H9.6,327.141
cyp-29A2,61.947
T19B10.2,309.944
T19C4.1,47.39
T20G5.4,209.33
dod-6,284.68
T21C12.4,38.863
T22C8.4,37.106
srsx-19,29.157
pgrn-1,30.772
alh-13,1055.693
T26E3.5,897.826
T26E3.8,810.332
T26F2.2,119.823
fbxb-2,146.155
T27E9.2,27.015
T27E9.6,119.934
fbxb-86,37.714
clec-12,43.813
T28C6.8,29.067
VH15N14R.1,63.614
W02B8.2,58.908
W04A8.3,216.564
W04A8.4,88.714
nspa-8,120.306
W06D4.2,105.034
Y7A9D.1,53.123
Y11D7A.3,97.079
Y15E3A.5,205.896
Y18D10A.3,25.239
Y19D2B.2,140.773
nhr-232,134.357
Y24F12A.3,78.405
Y24F12A.4,128.206
Y37D8A.3,82.236
Y37D8A.10,31.042
Y38E10A.3,76.683
Y38E10A.14,25.554
Y39A1A.16,101.508
Y39A1A.18,52.491
Y39G8B.1,53.665
Y44A6C.2,86.821
Y45F10B.15,48.043
Y46G5A.4,25.071
Y46G5A.7,311.821
bcmo-1,102.649
Y46G5A.28,436.267
Y46G5A.34,72.841
Y47D3A.1,32.789
Y47H10A.2,26.091
ztf-22,25.951
Y49A3A.4,55.105
Y51A2D.7,41.757
Y53C10A.5,161.569
Y53F4B.39,191.766
Y54E5A.1,59.842
Y54E5B.2,49.025
fbxb-22,500.227
sdz-33,564.62
fbxb-24,452.853
Y56A3A.33,76.539
Y57A10A.14,52.718
Y57A10A.26,63.458
Y57A10C.1,105.767
Y59A8B.8,40.57
fbxa-106,45.284
lon-8,39.939
Y62F5A.9,29.693
Y62H9A.11,51.109
fbxb-93,112.361
fbxb-56,30.186
fbxb-94,358.41
Y65A5A.1,868.624
ztf-29,203.864
hex-5,220.172
Y71A12B.11,379.882
Y75B12A.2,89.078
acs-5,71.789
ceh-51,27.246
Y105C5B.8,26.2
Y105C5B.9,233.7
sams-2,434.791
Y105E8A.1,67.071
Y105E8B.6,51.594
Y105E8B.9,151.071
Y106G6D.1,502.107
Y106G6D.2,971.261
Y106G6H.4,250.29
Y111B2A.12,31.503
ftr-1,62.112
fbxb-59,150.71
Y116A8B.1,699.775
Y116A8C.19,106.477
Y116A8C.22,182.585
ZC373.1,76.227
ZC373.5,116.329
ZC376.1,46.336
ZC376.3,170.385
ZC410.5,194.673
ZC412.5,61.11
nspa-5,29.436
ugt-5,236.376
pyk-2,71.73
ZK637.4,108.681
ZK662.5,39.31
ZK809.8,97.589
ZK822.2,271.766
ZK899.6,465.164
ZK1053.4,230.699
nit-1,276.565
ZK1058.9,69.839
sdz-36,89.798
ZK1307.1,83.024
MTCE.18,32.629
MTCE.20,34.153
MTCE.36,189.978
T05E11.9,109.492
F56D5.4,42.023
F59C6.10,82.219
T09F5.12,696.877
W09C5.3,257.271
Y38H6A.4,83.382
Y70G10A.1,46.308
Y105E8B.10,41.274
nlp-34,69.117
B0222.9,48.436
B0228.7,36.379
B0238.1,77.435
B0252.3,184.253
B0286.1,30.324
sdz-1,1025.31
B0303.14,32.612
ugt-46,40.283
C03B1.7,48.529
C03B1.13,216.846
C03B1.14,55.126
C03H5.7,25.548
trxr-1,58.687
C07A12.7,49.737
sdz-2,116.257
bath-33,55.96
fbxb-13,224.699
C08F1.6,562.579
C08F1.10,81.402
C09D4.2,36.597
sfxn-2,48.883
C15C7.7,46.812
C15F1.5,69.633
C15H9.7,134.568
math-15,31.261
C17F4.8,388.683
C18A3.9,26.716
elt-7,723.141
prmt-6,207.192
C24H12.1,32.142
C24H12.7,66.75
C24H12.11,151.234
C26B2.8,210.293
C26B9.1,28.452
C26F1.1,699.641
C28G1.4,51.185
C29F5.3,25.189
C30E1.2,91.368
C30G4.6,31.249
C31H2.4,140.803
fbxc-14,191.965
fbxc-18,162.005
sdz-4,214.113
C33E10.1,197.851
nhr-140,44.52
noah-1,53.514
C35B1.5,66.509
C35D10.8,25.926
C35E7.3,167.462
C35E7.4,36.253
C35E7.9,27.52
C35E7.11,115.403
C39B5.2,197.478
C39D10.8,74.035
C40A11.2,112.878
C40A11.6,58.737
C40A11.7,25.94
C40A11.10,138.416
eri-6,130.783
sdz-5,191.191
C43H6.1,39.038
C46H11.2,128.44
sdz-7,188.05
C50A2.3,25.633
C50A2.4,73.98
fbxb-95,508.42
fbxb-96,1077.021
C53A3.1,62.746
C53A3.2,101.403
C53H9.2,59.715
acs-22,271.927
D1022.3,51.444
kin-33,243.151
fbxb-78,171.251
fbxb-80,45.861
E04F6.2,59.719
maoc-1,114.778
EEED8.4,479.318
EEED8.12,433.223
F02E11.2,80.911
fbxb-35,30.545
fbxb-36,39.29
F08B4.3,33.883
fbxb-108,118.166
fbxb-105,162.236
sdz-10,246.422
sdz-9,372.734
fbxb-111,106.716
gos-28,140.487
F09E5.16,103.178
F09F7.6,472.541
F09F7.7,40.789
F10D2.8,419.812
F10D7.3,249.955
F10E7.1,79.837
bath-31,456.457
sdz-12,86.665
sdz-11,54.314
F13B9.1,33.399
acp-5,236.121
upb-1,411.659
F13H8.11,164.579
cst-1,72.709
F14H12.6,897.554
F16G10.6,269.22
F19F10.1,57.022
F19F10.5,351.684
F22B7.9,232.877
F22E5.2,35.699
F22E5.20,281.865
F22H10.6,28.32
sdz-15,176.271
F25G6.7,126.426
F27C1.4,161.942
fbxb-106,96.912
fbxb-107,60.2
F32E10.8,46.541
F34D6.1,191.089
F35F11.2,35.075
F35F11.3,25.422
tbc-11,26.85
ttr-20,136.77
F36H5.4,39.947
fbxb-53,93.595
F36H5.8,46.976
fbxb-12,27.934
F37C4.6,246.532
F39F10.4,4730.047
fbxb-71,27.76
F40G9.9,284.726
F40G9.12,179.809
F40H3.6,104.689
F41B4.3,84.88
tbc-18,27.491
F43C11.3,27.117
F43C11.4,87.942
F43C11.10,66.055
fbxb-11,130.578
btb-8,135.146
math-29,88.105
sdz-18,198.83
fbxb-48,154.313
fbxb-5,26.595
fbxc-39,42.555
fbxb-30,73.814
F46E10.2,482.49
F49E7.2,65.683
fbxa-46,716.034
fbxb-103,460.518
F53C3.11,49.872
bcmo-2,29.591
F53H1.4,33.902
F53H8.3,137.453
hmbx-1,26.511
pmt-2,54.689
F54D11.2,105.416
F54G2.1,50.734
F55A3.5,254.454
F55A4.8,101.21
F56B3.6,97.359
F57F4.1,72.15
F57F4.2,126.996
fbxb-26,204.365
fbxb-17,1106.487
fbxb-18,45.354
fbxb-19,223.439
fbxc-22,67.478
fbxc-21,129.089
fbxc-26,95.483
fbxb-47,682.633
F58F9.7,35.121
sdz-23,402.5
F59D6.1,26.945
H10D18.6,34.791
H19M22.3,44.611
fbxb-72,84.057
H27M09.5,105.984
btb-10,433.408
K05F1.5,232.51
fbxb-49,373.538
fbxb-50,272.423
fbxb-51,62.624
K05F6.4,432.38
fbxb-44,177.354
fbxb-52,64.227
fbxb-54,264.241
fbxb-46,271.177
K06C4.8,96.995
K09D9.11,33.073
K09H9.7,38.737
K10B3.1,328.06
K10C2.6,28.063
K10C9.3,248.331
gsto-3,35.547
K11H12.7,35.301
sago-1,74.364
K12B6.8,26.236
set-13,55.563
btb-11,205.937
fbxb-41,339.208
fbxb-40,181.215
fbxb-45,90.264
M01D7.1,46.528
M02D8.3,134.498
asns-2,111.07
atg-2,59.85
M03E7.2,52.083
M116.2,52.991
fbxb-31,254.881
fbxb-32,105.668
R01B10.2,106.38
R02C2.1,85.287
kin-34,192.475
R02C2.6,50.474
R03H10.1,181.576
fbxc-28,469.881
fbxc-29,27.518
fbxc-31,189.8
fbxc-24,28.567
R07C3.13,235.827
fbxb-74,315.101
fbxb-75,146.347
R11E3.2,32.63
R12B2.6,40.245
R12C12.1,39.085
R13H7.2,57.222
sdz-28,449.325
sdz-29,381.54
R119.5,34.27
T01C8.5,25.691
T02H6.5,398.328
T04G9.4,50.225
lgc-1,34.412
T07D3.4,47.719
acs-3,238.847
T08B6.1,57.601
T08B6.5,140.089
fbxc-19,42.707
fbxb-10,29.751
T09B4.4,509.88
T10B5.8,36.41
fbxa-67,50.245
fbxb-37,226.286
fbxb-81,126.909
fbxb-82,401.271
fbxb-83,461.271
fbxb-84,438.095
T17A3.12,238.367
T19C3.5,31.526
T20D4.19,256.266
T20F5.3,47.172
T21D11.1,41.914
T22B2.1,112.874
T22B11.1,27.413
T22D1.11,628.686
npr-12,36.017
T22E5.3,96.585
T24C4.2,116.241
T24C12.3,270.935
T25D10.4,325.983
T25G12.1,106.271
T25G12.2,47.088
T25G12.11,37.435
T27A1.5,48.677
T27E4.1,109.703
jmjc-1,67.235
cpt-6,272.821
W02G9.5,31.572
W03A5.6,44.134
fbxb-55,29.224
W05H9.1,93.323
W06A11.2,49.751
fbxb-118,102.058
W07E6.3,32.142
fbxb-34,132.07
W08F4.12,193.601
Y5H2B.3,155.113
fbxb-99,57.285
Y9C9A.13,41.996
Y13C8A.1,62.374
Y17G9B.1,48.507
Y17G9B.2,197.221
Y23H5B.1,669.832
Y23H5B.8,69.95
nspd-8,64.324
Y25C1A.6,408.806
Y27F2A.6,45.58
Y32H12A.6,70.164
Y37E11AL.9,162.321
Y37E11B.1,41.162
Y39F10A.3,58.215
Y39G10AL.1,85.791
epg-2,745.487
Y39G10AR.18,34.604
Y40A1A.2,74.44
Y40B10A.6,35.502
Y41D4B.14,1450.848
Y43B11AL.1,308.343
Y45G5AM.5,147.404
fbxc-51,161.224
Y46H3C.7,38.141
Y48G1C.6,31.79
ugt-29,84.35
sdz-32,140.638
fbxb-104,68.786
bath-8,71.832
Y50D4A.5,34.337
Y50D4B.2,255.111
fbxb-42,227.275
fbxb-43,310.494
Y51H7BR.4,37.634
Y53G8B.1,26.746
Y54F10BM.6,124.583
Y54F10BM.9,32.645
Y55B1BR.3,57.252
Y55D5A.1,178.853
Y57G7A.2,28.947
Y58G8A.4,46.725
Y61A9LA.3,57.468
Y65B4A.6,43.128
Y66H1A.5,97.679
rep-1,92.089
Y71F9AL.6,84.25
Y71F9AL.7,247.834
Y71G10AL.1,61.361
Y71H2AM.13,100.994
ppfr-4,33.049
Y73B3A.4,30.38
acp-6,72.267
Y73C8C.8,80.276
rga-4,41.373
Y82E9BL.2,90.787
Y82E9BL.3,133.052
Y82E9BL.5,145.929
Y82E9BL.6,218.835
Y82E9BR.17,181.383
Y92H12BR.4,678.614
Y94H6A.4,36.05
Y102A11A.5,79.223
Y119D3B.14,25.122
Y119D3B.21,62.754
btb-12,182.276
fbxb-15,417.659
fbxb-21,42.634
fbxb-20,218.758
btb-13,55.544
cuti-1,60.955
scl-27,50.296
ZK185.2,95.637
ZK185.3,227.551
ZK430.5,124.066
ZK470.2,51.455
ZK742.3,196.94
cth-2,71.951
dve-1,857.9
ZK1290.5,39.039
F22B7.t3,84.568
F30H5.4,418.943
W09G12.3,27.096
Y74C9A.6,56.781
ZC513.7,25.414
C33E10.3,2709.598
C33E10.9,25.973
C52D10.10,48.238
D1005.t1,730.241
F19G12.t1,47.237
ZK380.t2,4561.05
plr-1,31.712
D1054.17,106.795
lin-15B,56.07
fbxb-87,98.411
T21C12.8,115.994
Y38E10A.28,437.153
Y57A10C.11,225.533
fbxb-66,551.649
syd-9,31.165
M153.4,47.599
fbxb-63,53.554
H37A05.4,611.787
R04A9.7,110.711
fbxb-33,1037.468
C16C4.17,89.757
ZC239.20,89.618
ZC239.21,110.58
F11F1.8,41.85
K10C9.9,234.097
C46C11.4,45.448
Y51H7BR.8,43.196
fbxb-91,294.268
fbxb-92,248.085
fbxb-90,493.911
fbxb-27,148.406
R11G1.7,54.011
Y53F4B.43,33.297
W08F4.13,30.874
T07A9.14,37.021
F13E9.13,340.406
M01D7.9,45.206
T26E3.11,83.901
R12E2.17,52.197
ZK546.18,29.554
R151.12,25.806
smy-6,28.589
T26H2.10,237.098
T25B9.11,113.95
T25B9.12,340.316
mrpr-1,25.304
Y43F8C.22,30.457
C46C2.8,60.888
F54C9.12,29.883
R01H2.8,56.534
Y62H9A.15,343.608
mir-787,69.986
C17D12.8,43.35
T05E12.8,118.685
D1086.19,182.508
E01G4.7,409.596
F26G1.11,67.93
K05F6.12,86.505
F56F4.8,711.071
F10A3.17,42.492
T07D10.8,98.316
F46B3.19,60.22
Y59H11AR.6,230.136
Y52B11A.12,55.004
C01A2.9,30.668
H15N14.4,43.759
F55B12.11,263.657
F55C9.14,99.915
F59C6.16,44.216
T02G6.10,127.271
F25H5.10,82.071
T05E12.10,12302.208
F16H6.11,25.747
F40G9.18,219.783
C36A4.14,300.146
mir-2207,54.533
F19B2.12,31.802
Y45F10B.59,103.842
Y57G11C.1134,318.889
F37H8.7,82.054
Y37E3.25,3242.559
F40G9.20,116.572
C18D4.11,42.568
Y113G7B.27,71.124
Y113G7B.28,75.816
F13B12.12,29.507
T07D1.8,390.668
F12D9.8,86.019
F43C11.13,44.134
C05G5.9,29.82
ZC21.11,74.763
ZK1193.8,107.666
C29E6.13,33.01
H12D21.17,96.464
ZC21.12,71.546
ZK377.7,67.048
T21C12.9,25.695
F45E6.7,29.914
ZK1193.9,66.446
Y4C6B.99,58.364
C44E4.10,27.295
Y15E3A.10,44.748
R04F11.24,25.049
F29F11.15,61.356
F46E10.16,41.118
WBGene00206377,66.229
WBGene00206464,26.953
WBGene00206519,55.266
WBGene00219217,198.441
WBGene00219422,70.234
WBGene00219443,28.962
WBGene00219452,32.106
WBGene00219491,29.269
WBGene00219609,32.431
WBGene00219728,85.564
WBGene00219741,77.404
WBGene00219886,89.034
WBGene00235158,126.788
WBGene00235272,141.165
