zygGene,RNA
C15F1.5,193.078
fbxb-98,72.656
math-7,34.624
C16D9.6,42.004
acdh-2,31.716
elt-7,26.344
C25G6.4,44.978
flp-27,26.85
C25H3.12,35.094
C26B9.1,36.718
C30E1.2,60.768
C30G4.4,29.148
fbxc-18,49.422
sdz-4,45.614
fbxb-88,40.424
noah-1,29.58
C35E7.3,42.054
C35E7.4,25.842
C43H6.4,93.92
sdz-7,70.216
sre-49,27.482
C50F7.1,26.344
C52E12.6,109.742
C54F6.12,35.756
D2096.1,33.604
kin-33,34.772
fbxb-78,41.592
fbxb-80,563.794
EEED8.4,147.192
EEED8.12,439.644
nhr-36,26.784
sdz-10,33.914
sdz-9,50.782
F08F3.9,45.022
F09E5.16,48.04
F10E7.1,28.788
bath-31,210.762
F13B9.1,49.946
F18C5.9,79.894
F18E3.11,32.138
F19F10.1,28.036
F22F4.5,26.396
sdz-15,337.488
nspd-9,69.14
clec-157,42.94
F29G9.7,26.282
fbxc-37,241.456
F34D6.1,36.006
F36F12.4,129.252
F39F10.4,488.598
F40G9.9,26.356
F40G9.12,140.304
F41D9.2,36.264
F43C11.10,49.278
F43E2.6,230.408
F43E2.11,47.176
fbxb-11,28.96
math-29,48.322
sdz-18,56.696
sdpn-1,32.706
lact-1,119.524
fbxb-103,148.288
F53H1.4,87.402
F54A3.2,61.268
sdz-21,194.142
ttr-58,63.95
F58A6.5,75.636
fbxb-17,411.09
fbxb-18,48.018
fbxc-22,60.91
fbxc-21,296.882
fbxb-47,51.334
F59C12.3,101.574
H11L12.1,74.94
btb-10,118.694
K02E10.1,94.406
fbxb-49,65.248
fbxb-50,70.774
K05F6.4,59.568
fbxb-52,101.114
fbxb-54,113.746
K06A9.2,86.022
K10B4.3,55.586
set-13,26.964
btb-11,59.098
fbxb-41,25.616
M01G5.1,83.15
M02D8.3,108.37
atg-2,35.334
fbxb-31,126.43
fbxb-32,66.364
R02C2.1,100.68
kin-34,156.33
R02C2.6,28.64
R03H10.1,61.708
R04E5.9,31.548
fbxc-28,87.23
fbxc-33,29.312
fbxc-31,36.204
fbxb-75,32.268
R12B2.2,47.18
sdz-29,114.42
pcf-11,49.19
T08B6.5,522.428
T09B4.8,30.03
T13C5.7,36.754
T14G11.1,44.928
fbxb-37,33.954
fbxb-83,48.67
fbxb-84,93.286
srz-7,48.826
